Name;Size;"First name";"Last name";Downloads;Date;Path
Session_4_lösung.ipynb;11521;Christoph;Hau;50;"07.11.2025 12:00";Session_4_lösung.ipynb
Session_6_lösung.ipynb;15927;Christoph;Hau;53;"21.11.2025 10:04";Session_6_lösung.ipynb
Session_7_lösung.ipynb;9385;Christoph;Hau;46;"28.11.2025 08:38";Session_7_lösung.ipynb
Session_8_Lösung.ipynb;11685;Christoph;Hau;41;"05.12.2025 10:04";Session_8_Lösung.ipynb
Session_9_solutions.ipynb;1994712;Christoph;Hau;32;"16.01.2026 10:59";Session_9_solutions.ipynb
Session_12_solutions.ipynb;143982;Christoph;Hau;23;"06.02.2026 09:04";Session_12_solutions.ipynb
Session05_lösung.ipynb;25802;Christoph;Hau;45;"20.11.2025 09:31";Session05_lösung.ipynb
